num_chords,chords__index,chords__time,chords__chord
186,0,0.073469386,N
,1,8.623332977,A:maj
,2,9.234081268,B:maj
,3,11.05566883,A:maj
,4,11.6682539,G:maj
,5,13.50872993,A:maj
,6,14.12439919,B:min6
,7,15.97321987,A:maj6
,8,16.58986473,G:maj7
,9,18.12884331,A:maj7
,10,19.3591156,B:min
,11,20.59029388,A:maj6
,12,21.81487465,G:maj7
,13,23.03911591,A:maj6
,14,24.26691628,B:min
,15,25.49104309,A:maj6
,16,26.71210861,G:maj7
,17,27.93278885,A:maj6
,18,29.15768623,B:min7
,19,30.38217735,A:min6
,20,31.6092968,G:maj7
,21,32.83206177,A:maj6
,22,34.05659866,B:min
,23,35.28446579,A:maj6
,24,36.20185852,G:maj7
,25,37.73147583,A:maj6
,26,38.647892,B:min7
,27,40.48405838,A:maj6
,28,41.40380859,G:maj7
,29,42.62764359,A:maj6
,30,43.84770966,B:min
,31,45.07022858,A:min6
,32,46.29569244,G:maj7
,33,47.82614517,A:maj6
,34,48.74476242,B:min
,35,49.97077179,A:maj6
,36,51.19083786,G:maj7
,37,52.41061401,A:maj6
,38,53.62764359,B:min
,39,54.8488884,A:maj6
,40,56.07349396,G:maj7
,41,57.30213165,A:maj
,42,58.5312233,B:min
,43,59.75396729,A:maj
,44,60.97691727,G:maj
,45,62.20353699,A:maj6
,46,63.43009186,B:min
,47,64.66229248,A:min6
,48,65.89260864,G:maj7
,49,67.1180954,A:maj6
,50,68.34201813,B:min7
,51,70.79317474,G:maj
,52,72.01348877,B:min7
,53,74.46276855,A:maj6
,54,75.68940735,G:maj7
,55,76.9172821,A:maj6
,56,78.14524078,B:min
,57,79.06523895,A:maj
,58,80.58623505,G:maj6
,59,82.0973053,A:maj
,60,83.00521851,D:maj6
,61,84.83267212,A:min
,62,85.44816589,G:maj6
,63,86.99993134,D:maj6
,64,89.16322327,A:min
,65,90.07952118,G:maj6
,66,91.60700989,A:maj6
,67,92.83029175,B:7
,68,93.75086212,E:min7
,69,94.36392212,A:maj6
,70,95.2822876,G:maj7
,71,96.50514984,A:maj6
,72,97.72947693,B:min7
,73,98.95383453,A:maj6
,74,100.1749191,G:maj6
,75,101.39608,A:min
,76,102.6267319,B:min7
,77,104.1674347,A:maj6
,78,105.086235,G:maj7
,79,106.3075485,A:maj6
,80,107.5268936,B:min
,81,108.7464828,A:min
,82,109.968277,G:maj6
,83,111.1911316,D:maj6
,84,119.4502258,G:maj7
,85,120.9847183,A:maj6
,86,122.2092285,B:min
,87,123.4346924,A:maj6
,88,124.6602936,G:maj
,89,125.8876419,A:min6
,90,127.1123123,D:maj6
,91,129.5613403,G:maj7
,92,130.782547,A:maj6
,93,132.0049896,D:maj6
,94,132.9217224,A:min
,95,134.4509277,G:maj
,96,135.6712494,A:min6
,97,136.8955383,B:min
,98,138.1164856,A:maj6
,99,139.3348694,G:maj7
,100,140.8631897,B:min7
,101,144.2472382,G:maj7
,102,145.7847443,A:maj6
,103,146.7027893,B:min
,104,148.2353668,A:min6
,105,149.1525421,G:maj
,106,150.374939,B:min7
,107,153.4376221,A:7
,108,156.4992065,B:min7
,109,158.6423645,G:maj6
,110,160.4736481,D:maj6
,111,163.2230225,A:min6
,112,163.8383179,G:maj7
,113,165.3769684,A:maj6
,114,166.2977295,B:min
,115,167.8278656,A:maj
,116,168.4371948,G:maj7
,117,169.9571686,D:maj6
,118,172.70961,A:maj
,119,173.6322021,G:maj
,120,174.8612976,F#:min7
,121,176.0882263,B:min
,122,177.3146667,A:maj6
,123,178.5386353,G:maj7
,124,179.7630005,F#:min7
,125,180.6763916,B:min
,126,182.2014771,A:maj6
,127,183.4292755,G:maj6
,128,184.6567383,A:maj6
,129,185.8815918,B:min
,130,186.8024902,E:maj
,131,187.4163208,A:maj
,132,188.3361511,G:maj
,133,189.5623779,A:maj6
,134,190.4798889,B:7
,135,192.3102722,A:maj6
,136,192.923584,G:maj6
,137,194.4554138,A:min6
,138,195.677002,B:min
,139,196.591568,A:min6
,140,198.1243286,G:maj
,141,199.3555145,A:maj6
,142,200.5886383,B:min
,143,201.5092773,A:maj6
,144,202.7319031,G:maj6
,145,204.2522736,A:7
,146,205.4707031,B:min
,147,206.6923065,A:maj6
,148,207.9187775,G:maj7
,149,209.7517242,B:min7
,150,211.58461,A:maj
,151,212.8118439,G:maj7
,152,214.0413208,F#:hdim7
,153,215.2675018,B:min7
,154,216.493927,A:maj6
,155,217.7154388,G:maj6
,156,219.2500916,A:maj6
,157,220.1685333,D:maj6
,158,222.6212463,G:maj7
,159,224.1524048,A:maj
,160,225.0695648,D:maj6
,161,226.899231,E:maj
,162,227.5088501,G:maj6
,163,229.0426025,A:maj
,164,229.9576874,D:maj6
,165,231.7916565,A:maj
,166,232.4070587,G:maj6
,167,233.9418182,A:maj7
,168,234.8602905,B:min7
,169,236.3878174,A:min
,170,236.9993439,G:maj6
,171,238.5258331,A:maj6
,172,239.7415161,B:min
,173,240.3539886,E:maj
,174,241.2742004,A:maj6
,175,242.1973267,G:maj
,176,243.4207306,A:min7
,177,244.6455841,B:min
,178,245.8769379,A:min
,179,247.1120148,G:maj
,180,248.6500854,A:7
,181,249.2643127,B:min
,182,251.0988159,E:min7
,183,254.4532471,B:min
,184,256.5883484,B:maj7
,185,258.7315063,N
